"id","dane","tipoInstitucion","nombre","direccion","barrio","email1","rector","telefono","email2","localidad.id"
1,"111001000132","DISTRITAL","COL AQUILEO PARRA (IED)","KR 18 A # 187 - 67","EL CEREZO","insdiaquileoparrav1@redp.edu.co","CARLOS EDUARDO GALAN CASTRO","6704916 -- 6745973",,1
2,"111001029955","DISTRITAL","COL AGUSTIN FERNANDEZ (IED)","KR 7 # 155 - 20","BOSQUE DE PINOS III","coldiagustinfernan1@redp.edu.co","GUSTAVO ADOLFO GALLEGO CASTAÑEDA","6791049 -- 6692881",,1
3,"111001044806","DISTRITAL","COL FRIEDRICH NAUMANN (IED)","AK 7 # 171 B - 26","LA GRANJA NORTE","cedfriedrichnauma1@redp.edu.co","FANNY MEDINA VARGAS","6796109",,1
4,"111001046957","DISTRITAL","COL TOBERIN (IED)","CL 166 # 16 C - 15","EL TOBERIN","cedtoberin1@redp.edu.co","SHEILA MARGOTH SALAZAR BARRIOS","6696782",,1
5,"111001086681","DISTRITAL","COL NUEVO HORIZONTE (IED)","KR 5 B # 189 B - 30","BUENAVISTA","cednvohorizonte1@redp.edu.co","SANDRA LEON","6793861-6796685",,1
6,"111001102059","DISTRITAL","COL UNION COLOMBIA (IED)","KR 7 A # 182 A - 07","EL ROCIO NORTE","enalpilotodeaplica1@redp.edu.co","MARTHA CLEMENCIA VENEGAS ABELLA","6796956",,1
7,"111001107743","DISTRITAL","COL SALUDCOOP NORTE (IED)","CL 181 # 18 B - 83","SAN ANTONIO NOROCCIDENTAL","colsaludcoopnorte@redp.edu.co","MARIA LIGIA DELGADO DE SANTAMARIA","6775954 -- 6682102 EXT 104","secretaria.academica@colsaludcoopnorte.edu.co ",1
8,"111848002662","DISTRITAL","COL USAQUEN (IED)","CL 127 C # 9 A - 03","LA CAROLINA","colescoloniaescola1@redp.edu.co","ANGEL RICARDO ALMANZA ROLDAN","6156753 -- 2586668 -- 6156815",,1
9,"111848002689","DISTRITAL","COL DIVINO MAESTRO (IED) TARDE","KR 8 C # 163 B - 20","SAN CRISTOBAL NORTE","coldivinomaestro1@redp.edu.co","MARIA LUZ RINCON DE HERNANDEZ","5260673 -- 5263620 -- 6718692",,1
10,"111848003031","DISTRITAL","COL CRISTOBAL COLON (IED)","CL 165 # 8 A - 03","SAN CRISTOBAL NORTE","coldicristobalcolo1@redp.edu.co","GLADYS STELLA CHAPARRO MONROY","6719464 -- 6775223 -- 6774300",,1
11,"111848003910","DISTRITAL","COL GENERAL SANTANDER (IED) TARDE","CL 159 # 8 - 56","BARRANCAS NORTE","coldigeneralsantan1@redp.edu.co","WILLIAM ALFONSO FUENTES MANRIQUE","6788559 -- 6788487",,1
12,"111001098612","DISTRITAL - CONCESION","COL DON BOSCO III (CED)","KR 4 # 187 B - 37","BUENAVISTA","cedbosco3@gmail.com","JUAN CARLOS AYALA SERRANO","6799077",,1
13,"311001003271","PRIVADO","COL EUCARISTICO","CL 170 # 17 A - 32","LAS GRANJAS DEL NORTE","secretaria@colegioeucaristico.com ","CLAUDIA INES CORDOBA ROJAS HMSS","6722474 -- 6700734","villag@colegioeucaristico.com",1
14,"311848002271","PRIVADO","COL DE LA SALLE","CL 170 # 12 - 10","LAS GRANJAS DEL NORTE","colsalle@colsalle.edu.co","HNO WILLIAM FERNANDO DUQUE DUQUE","6690052 -- 6789160","rectoria@colsalle.edu.co",1
15,"311001032246","PRIVADO","ESC PEDAGOGICA EXPERIMENTAL","KM 5 VIA A LA CALERA","LA CALERA","epe@epe.edu.co","MARIA DEYANIRA VALVERDE","6486823 -- 6485371","marleny.caro@epe.edu.co",1
16,"311769002214","PRIVADO","COL SAN BENITO DE TIBATI","KR 12 # 188 A - 65","VERBENAL","vice.csbt@hotmail.com","PADRE NICOLAS DARIO CANO AGUDELO OSB","6790200","tibati.secretaria@hotmail.com",1
17,"311848000413","PRIVADO - CONVENIO","INST DE PEDAG AUTOACTIVA DE GRUPOS -IPAG","KR 8 C # 183 - 32","SAN ANTONIO NORTE","colegioipag@gmail.com","CARMEN TULIA CORDOBA ACOSTA","6711029 -- 6701198",,1
18,"311848000456","PRIVADO","COL CASABLANCA","CL 163 A # 8 A - 74","SAN CRISTOBAL NORTE","colcasablanca@hotmail.com","CLARA INES NAVARRETE DE ORJUELA","6711781","contacto@colegiocasablanca.net",1
19,"311848000481","PRIVADO","COL PUREZA DE MARIA","KR 7 # 147 - 02","BOSQUE DE PINOS","secretaria@purezabogota.edu.co","HNA DIANA GIL SANTA","2585512 -- 2585513",,1
20,"311848000588","PRIVADO","COL DEL SANTO ANGEL","CL 165 # 7 - 21","SAN CRISTOBAL NORTE","secretaria.academica@colegiodelsantoangel.edu.co","HNA ISABEL GARCIA DE LA PARTE","6711524 -- 6711087 -- 6784677 -- 3115182794","pei@colegiodelsantoangel.edu.co",1
21,"311848000707","PRIVADO","COL DEL ROSARIO CAMPESTRE","KR 7 CL 212","TORCA","contactenos@colrosariocampnorte.edu.co","SOR IRIS RAQUEL GONZALEZ PINZON","6798080 -- 6798086",,1
22,"311848000782","PRIVADO","GIMN LOS PINOS","CL 193 # 38 - 20","VERBENAL","jcrestrepoc@gimnasiolospinos.edu.co","JUAN FELIPE RESTREPO CANO","6700008",,1
23,"311848002416","PRIVADO","COL MARIA INMACULADA","KR 7 # 166 - 71","SAN CRISTOBAL NORTE","rectoria@colegiomariainmaculada.edu.co","HNA CARMEN ELENA JAIME CONTRERAS","6711177 -- 6799708 -- 6799686","secretaria@colegiomariainmaculada.edu.co",1
24,"311848002459","PRIVADO","COL CLAUSTRO MODERNO","KR 7 # 174 - 80","LA URIBE","asisrectoria@claustromoderno.edu.co","JORGE ALEJANDRO MEDELLIN BECERRA","6711079",,1
25,"311848002611","PRIVADO","LIC DE CERVANTES PADRES AGUSTINOS","CL 153 # 19 - 39","LOS CEDROS","rectoria@liceocervantes.edu.co","PADRE NELSON GALLEGO OROZCO","2588762 -- 6141174","secretaria@liceocervantes.edu.co",1
26,"311848002866","PRIVADO","COL MAYOR JOSE CELESTINO MUTIS","KR 11 # 185 B - 88","VERBENAL","colegiomutis@hotmail.com","MANUEL J BERNAL SANCHEZ","6703200 -- 6706151 -- 6706201","manueljbernal@hotmail.com",1
27,"311848002874","PRIVADO","INST COOP DE CANAPRO","CL 173 # 19 - 35","LA URIBE","rectoria@colegiocanapro.edu.co","DEISSY RUSSI DE VILLAMIL","7425670","colcanapro@hotmail.com",1
28,"411848001058","PRIVADO","COL FUNDACION COLOMBIA","KM 14 CART CENTRAL DEL NORTE",,"funcol@etb.net.co","MARIA HELENA REYES DE FANDIÑO","6760284 -- 6765083 -- 6761480",,1
29,"111001016314","DISTRITAL","COL SIMON RODRIGUEZ (IED)","CL 69 # 11 - 27","QUINTA CAMACHO","coldisimonrodrigue2@redp.edu.co","ROSARIO EMPERATRIZ BUELVAS GARAY","2358681",,2
30,"111001034665","DISTRITAL","COL SAN MARTIN DE PORRES (IED)","CL 45 # 3 - 35 ESTE","SIBERIA","escdisanmartindepo2@redp.edu.co","ROGELIO HURTADO ACEVEDO","2874186","escsanmatindepo2@gmail.com",2
31,"111001102156","DISTRITAL","COL CAMP MONTE VERDE (IED)","KR 5 C ESTE # 98 A - 55","SAN LUIS ALTOS DEL CABO","campestremonteverde@redp.edu.co","MONICA ISABEL ZAMBRANO BAYONA","6320241 -- 6320718 -- 6485874",,2
32,"311001000832","PRIVADO","GIMN MODERNO","KR 9 # 74 - 99","LA PORCIUNCULA","comunicaciones@gimnasiomoderno.edu.co","VICTOR ALBERTO GOMEZ CUSNIR","5401888","cpenagos@gimnasiomoderno.edu.co",2
33,"311001001022","PRIVADO","COL DEL ROSARIO DE SANTO DOMINGO","CL 68 # 0 - 51 ESTE","PARDO RUBIO","info@rosariosantodomingo.edu.co","SOR GILMA HENAO SALAZAR OP","2171014  -- 7171015 -- 2118718","doristarazona@rosariosantodomingo.edu.co",2
34,"311001004706","PRIVADO","COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS","KR 7 # 65 - 42","PARDO RUBIO","info@bethlemitasbogota.edu.co","MADRE CIELO MORENO CALDERON","3479700",,2
35,"311001032840","PRIVADO","INST MILIT ANTONIO RICAURTE","KR 8 # 47 - 52","CHAPINERO","imar_125@hotmail.com","JOSE FERNANDO CASASBUENAS CASTILLO","2323249",,2
36,"111001009831","DISTRITAL","COL POLICARPA SALAVARRIETA (IED)","CL 28 # 5 A - 06","SAN MARTIN","lnalpolicarpasalav3@redp.edu.co","MARTHA YANETH MOLINA","3341965 -- 2812015",,3
37,"111001010839","DISTRITAL","COL EXTERN NAL CAMILO TORRES (IED)","KR 7 # 33 - 64","LA MERCED","camilotorres3@redp.edu.co","RUTH ESPERANZA MARCELO SANCHEZ","3380221",,3
38,"111001032409","DISTRITAL","COL JORGE SOTO DEL CORRAL (IED)","CL 3 # 1 A - 11 ESTE","LOURDES","coldijorgesotodelc3@redp.edu.co","ALEJANDRO VASQUEZ WILCHES","3339729 - 2338397",,3
39,"111001036544","DISTRITAL","COL ANTONIO JOSE URIBE (IED)","CL 3 # 9 - 80","SANTA BARBARA","coldiantoniojoseur3@redp.edu.co","LIDA CORTES HENAO","2893956 -- 2894401",,3
40,"111001094901","DISTRITAL","COL MANUEL ELKIN PATARROYO (IED)","CL 32 A # 3 C - 37","LA PERSEVERANCIA","cedmanuelelkinpat3@redp.edu.co","CLAUDIA PATRICIA JAIMES AMADO","3383933",,3
41,"111001102067","DISTRITAL","COL AULAS COLOMBIANAS SAN LUIS (IED)","KR 11 ESTE # 1 A - 85","EL ROCIO","escdiaulascolombia3@redp.edu.co","JOSE FRANCISCO DIAZ POSSO","281041 EXT 102 -- 3283988",,3
42,"211001065271","DISTRITAL","COL EL VERJON BAJO (IED)","KM 13 VIA CHOACHI","HOYA TEUSACA","escdielverjonbajoe2@redp.edu.co","MARIELA CASTILLO ROZO","6483984",,3
43,"311001026441","DISTRITAL","COL LOS PINOS (IED)","KR 6 B ESTE # 4 - 57","LOS LACHES","cedlospinos3@redp.edu.co","MARBEL CALA RODRIGUEZ","2896557","jcccol@aol.com",3
44,"311001000328","PRIVADO","COL DE MARIA AUXILIADORA","KR 13 # 30 - 99","SAN DIEGO","casacentral24@yahoo.es","HNA CLEMENCIA ROJAS ROJAS","2853381 -- 2459445",,3
45,"311001008949","PRIVADO","INST SAN BERNARDO DE LA SALLE","CL 2 # 12 - 39","LAS CRUCES","sanbernardo@isblasalle.edu.co","HNO CAMILO ANDRES VARGAS CASTILLO","2335700",,3
46,"111001100030","DISTRITAL - CONCESION","COL LA GIRALDA (CED)","AC 1 # 3 - 60","LAS CRUCES","info@alianzaeducativa.edu.co","VICTOR MANUEL NEIRA RODRIGUEZ","3371094",,3
