colDane,sede,tipo
"111001000132","SEDE UNO","manana"
"111001000132","SEDE UNO","tarde"
"111001029955","SEDE UNO","manana"
"111001029955","SEDE UNO","tarde"
"111001044806","SEDE UNO","unica"
"111001046957","SEDE UNO","manana"
"111001046957","SEDE UNO","tarde"
"111001086681","SEDE UNO","manana"
"111001086681","SEDE UNO","tarde"
"111001102059","SEDE UNO","unica"
"111001107743","SEDE UNO","manana"
"111001107743","SEDE UNO","tarde"
"111001107743","TORCA","unica"
"111848002662","SEDE UNO","manana"
"111848002662","SEDE UNO","tarde"
"111848002689","SEDE UNO","tarde"
"111848003031","SEDE UNO","unica"
"111848003910","SEDE UNO","tarde"
"111001098612","SEDE UNO","unica"
"311001003271","SEDE UNO","unica"
"311848002271","SEDE UNO","unica"
"311001032246","SEDE UNO","unica"
"311769002214","SEDE UNO","unica"
"311848000413","SEDE UNO","unica"
"311848000456","SEDE UNO","unica"
"311848000481","SEDE UNO","unica"
"311848000588","SEDE UNO","unica"
"311848000707","SEDE UNO","unica"
"311848000782","SEDE UNO","unica"
"311848002416","SEDE UNO","unica"
"311848002459","SEDE UNO","unica"
"311848002611","SEDE UNO","unica"
"311848002866","SEDE UNO","unica"
"311848002874","SEDE UNO","unica"
"411848001058","SEDE UNO","unica"
"111001016314","SEDE UNO","unica"
"111001034665","SEDE UNO","unica"
"111001102156","SEDE UNO","manana"
"111001102156","SEDE UNO","tarde"
"311001000832","SEDE UNO","unica"
"311001001022","SEDE UNO","unica"
"311001004706","SEDE UNO","unica"
"311001032840","SEDE UNO","unica"
"111001009831","SEDE UNO","unica"
"111001010839","SEDE UNO","unica"
"111001032409","SEDE UNO","unica"
"111001036544","SEDE UNO","manana"
"111001036544","SEDE UNO","tarde"
"111001094901","SEDE UNO","unica"
"111001102067","SEDE UNO","manana"
"111001102067","SEDE UNO","tarde"
"211001065271","SEDE UNO","unica"
"311001026441","SEDE UNO","manana"
"311001026441","SEDE UNO","tarde"
"311001000328","SEDE UNO","unica"
"311001008949","SEDE UNO","unica"
"111001100030","SEDE UNO","unica"
"111001012033","SEDE UNO","manana"
"111001012033","SEDE UNO","tarde"
"111001012301","SEDE UNO","manana"
"111001012301","SEDE UNO","tarde"
"111001012335","SEDE UNO","manana"
"111001012335","SEDE UNO","tarde"
"111001014168","SEDE UNO","manana"
"111001014168","SEDE UNO","tarde"
"111001014176","SEDE UNO","manana"
"111001014176","SEDE UNO","tarde"
"111001014451","SEDE UNO","manana"
"111001014451","SEDE UNO","tarde"
"111001015903","SEDE UNO","manana"
"111001015903","SEDE UNO","tarde"
"111001015911","SEDE UNO","manana"
"111001015911","SEDE UNO","tarde"
"111001016004","SEDE UNO","manana"
"111001016004","SEDE UNO","tarde"
"111001018252","SEDE UNO","unica"
"111001018309","SEDE UNO","manana"
"111001018309","SEDE UNO","tarde"
"111001018325","SEDE UNO","manana"
"111001018325","SEDE UNO","tarde"
"111001018333","SEDE UNO","manana"
"111001018333","SEDE UNO","tarde"
"111001018341","SEDE UNO","manana"
"111001018341","SEDE UNO","tarde"
"111001018368","SEDE UNO","manana"
"111001018368","SEDE UNO","tarde"
"111001018384","SEDE UNO","manana"
"111001018384","SEDE UNO","tarde"
"111001024686","SEDE UNO","manana"
"111001024686","SEDE UNO","tarde"
"111001027324","SEDE UNO","manana"
"111001027324","SEDE UNO","tarde"
"111001030066","SEDE UNO","manana"
"111001030066","SEDE UNO","tarde"
"111001030864","SEDE UNO","manana"
"111001030864","SEDE UNO","tarde"
"111001032280","SEDE UNO","manana"
"111001032280","SEDE UNO","unica"
"111001032433","SEDE UNO","unica"
"111001034011","SEDE UNO","unica"
"111001035530","SEDE UNO","manana"
"111001035530","SEDE UNO","tarde"
"111001035602","SEDE UNO","manana"
"111001035602","SEDE UNO","tarde"
"111001046621","SEDE UNO","manana"
"111001046621","SEDE UNO","tarde"
"111001086789","SEDE UNO","manana"
"111001086789","SEDE UNO","tarde"
"111001102075","SEDE UNO","manana"
"111001102075","SEDE UNO","tarde"
"111001098817","SEDE UNO","unica"
"111001098825","SEDE UNO","unica"
"311001002461","SEDE UNO","unica"
"311001002843","SEDE UNO","unica"
"311001006601","SEDE UNO","unica"
"311001009040","SEDE UNO","unica"
"311001029474","SEDE UNO","unica"
"311001034117","SEDE UNO","unica"
"111001020338","SEDE UNO","unica"
"111001013820","SEDE UNO","manana"
"111001013820","SEDE UNO","tarde"
"111001013935","SEDE UNO","unica"
"111001016039","SEDE UNO","manana"
"111001016039","SEDE UNO","tarde"
"111001024643","SEDE UNO","manana"
"111001024643","SEDE UNO","tarde"
"111001030872","SEDE UNO","manana"
"111001030872","SEDE UNO","tarde"
"111001041556","SEDE UNO","manana"
"111001041556","SEDE UNO","tarde"
"111001044270","SEDE UNO","manana"
"111001044270","EL VIRREY ULTIMA ETAPA","tarde"
"111001045705","SEDE UNO","manana"
"111001045705","SEDE UNO","tarde"
"111001046485","SEDE UNO","manana"
"111001046485","SEDE UNO","tarde"
"111001046931","SEDE UNO","manana"
"111001046931","SEDE UNO","tarde"
"111001065234","SEDE UNO","manana"
"111001065234","SEDE UNO","tarde"
"111001076201","SEDE UNO","manana"
"111001076201","SEDE UNO","tarde"
"111001076201","DIEGO MONTAÑA CUELLAR ","manana"
"111001076201","DIEGO MONTAÑA CUELLAR ","tarde"
"111001077895","SEDE UNO","manana"
"111001077895","SEDE UNO","tarde"
"111001077917","SEDE UNO","manana"
"111001077917","SEDE UNO","unica"
"111001078638","SEDE UNO","manana"
"111001078638","SEDE UNO","tarde"
"111001083011","SEDE UNO","manana"
"111001083011","SEDE UNO","tarde"
"111001086614","SEDE UNO","manana"
"111001086614","SEDE UNO","tarde"
"111001094439","SEDE UNO","manana"
"111001094439","SEDE UNO","tarde"
"111001098868","SEDE UNO","unica"
"111001104337","SEDE UNO","manana"
"111001104337","SEDE UNO","tarde"
"111001107760","SEDE UNO","manana"
"111001107760","SEDE UNO","tarde"
"111850000740","SEDE UNO","manana"
"111850000740","SEDE UNO","tarde"
"111850001380","SEDE UNO","manana"
"111850001380","SEDE UNO","unica"
"111850001428","SEDE UNO","manana"
"111850001428","SEDE UNO","tarde"
"111850001461","SEDE UNO","manana"
"111850001461","SEDE UNO","tarde"
"111850001576","SEDE UNO","manana"
"111850001576","SEDE UNO","tarde"
"211001032501","SEDE UNO","manana"
"211001032501","SEDE UNO","tarde"
"211001094832","SEDE UNO","manana"
"211001094832","SEDE UNO","tarde"
"211850000051","SEDE UNO","manana"
"211850000051","SEDE UNO","tarde"
"211850000787","SEDE UNO","manana"
"211850000787","SEDE UNO","unica"
"211850000876","SEDE UNO","unica"
"211850000931","SEDE UNO","manana"
"211850000931","SEDE UNO","tarde"
"211850000981","SEDE UNO","manana"
"211850000981","SEDE UNO","tarde"
"211850001481","SEDE UNO","manana"
"211850001481","SEDE UNO","tarde"
"111001098833","SEDE UNO","unica"
"111001098841","SEDE UNO","unica"
"111001098850","SEDE UNO","unica"
"111001100081","SEDE UNO","unica"
"111001102008","SEDE UNO","unica"
"311001046689","SEDE UNO","unica"
"311001065357","SEDE UNO","unica"
"411001086561","SEDE UNO","unica"
"111001009652","SEDE UNO","manana"
"111001009652","SEDE UNO","tarde"
"111001010251","SEDE UNO","manana"
"111001010251","SEDE UNO","tarde"
"111001011011","SEDE UNO","manana"
"111001011011","SEDE UNO","tarde"
"111001012271","SEDE UNO","manana"
"111001012271","SEDE UNO","tarde"
"111001014206","SEDE UNO","manana"
"111001014206","SEDE UNO","tarde"
"111001014214","SEDE UNO","manana"
"111001014214","SEDE UNO","tarde"
"111001018201","SEDE UNO","unica"
"111001019411","SEDE UNO","manana"
"111001019411","SEDE UNO","tarde"
"111001032450","SEDE UNO","manana"
"111001032450","SEDE UNO","tarde"
"111001075736","SEDE UNO","manana"
"111001075736","SEDE UNO","tarde"
"111001075957","SEDE UNO","manana"
"111001075957","SEDE UNO","tarde"
"111001075957","SAN CARLOS","tarde"
"111001086631","SEDE UNO","manana"
"111001086631","SEDE UNO","tarde"
"311001003971","SEDE UNO","unica"
"311001005311","SEDE UNO","unica"
"311001008213","SEDE UNO","unica"
"311001088608","SEDE UNO","unica"
"111001106950","SEDE UNO","manana"
"111001106950","SEDE UNO","tarde"
"111001104299","SEDE UNO","manana"
"111001104299","SEDE UNO","tarde"
"211102000995","SEDE UNO","manana"
"211102000995","SEDE UNO","tarde"
"111001104329","SEDE UNO","manana"
"111001104329","SEDE UNO","tarde"
"111001107875","SEDE UNO","manana"
"111001107875","SEDE UNO","tarde"
"111001107883","SEDE UNO","manana"
"111001107883","SEDE UNO","tarde"
"211102000243","SEDE UNO","manana"
"211102000243","SEDE UNO","tarde"
"211102000243","EL RECUERDO","manana"
"211102000243","EL RECUERDO","tarde"
"111102000753","SEDE UNO","manana"
"111102000753","SEDE UNO","tarde"
"111102000621","SEDE UNO","manana"
"111102000621","SEDE UNO","tarde"
"111001107832","SEDE UNO","manana"
"111001107832","SEDE UNO","tarde"
"111001046477","SEDE UNO","unica"
"111001046591","SEDE UNO","manana"
"111001046591","SEDE UNO","tarde"
"111001106968","SEDE UNO","manana"
"111001106968","SEDE UNO","tarde"
"111001107867","SEDE UNO","manana"
"111001107867","SEDE UNO","tarde"
"111001086754","SEDE UNO","unica"
"111001104183","SEDE UNO","manana"
"111001104183","SEDE UNO","tarde"
"111001086606","SEDE UNO","unica"
"111102000265","SEDE UNO","manana"
"111102000265","SEDE UNO","tarde"
"111001104302","SEDE UNO","manana"
"111001104302","SEDE UNO","tarde"
"111102000281","SEDE UNO","manana"
"111102000281","SEDE UNO","tarde"
"111102000958","SEDE UNO","manana"
"111102000958","SEDE UNO","tarde"
"211102000201","SEDE UNO","manana"
"211102000201","SEDE UNO","tarde"
"211001076958","SEDE UNO","manana"
"211001076958","SEDE UNO","tarde"
"111001002909","SEDE UNO","manana"
"111001002909","SEDE UNO","tarde"
"111001010031","SEDE UNO","manana"
"111001010031","SEDE UNO","tarde"
"111001013676","SEDE UNO","manana"
"111001013676","SEDE UNO","tarde"
"111001014109","BRASILIA - BOSA","manana"
"111001014109","BRASILIA - BOSA","unica"
"111001100064","SEDE UNO","unica"
"111001098876","SEDE UNO","unica"
"111001098884","SEDE UNO","unica"
"111001104051","SEDE UNO","unica"
"111001100072","SEDE UNO","unica"
"311001035300","SEDE UNO","unica"
"311001036292","SEDE UNO","unica"
"311001047839","SEDE UNO","unica"
"311001065039","SEDE UNO","unica"
"311001087555","SEDE UNO","unica"
"311001089191","SEDE UNO","unica"
"311001096414","SEDE UNO","unica"
"311001097640","SEDE UNO","unica"
"311001107165","SEDE UNO","unica"
"311102000086","SEDE UNO","unica"
"111001086649","SEDE UNO","manana"
"111001086649","SEDE UNO","tarde"
"111001016098","SEDE UNO","unica"
"111001000124","SEDE UNO","manana"
"111001000124","SEDE UNO","tarde"
"111001011321","SEDE UNO","manana"
"111001011321","SEDE UNO","tarde"
"111001076767","SEDE UNO","manana"
"111001076767","SEDE UNO","tarde"
"111001013129","SEDE UNO","manana"
"111001013129","SEDE UNO","tarde"
"111001104558","SEDE UNO","manana"
"111001104558","SEDE UNO","tarde"
"111001001279","SEDE UNO","manana"
"111001001279","SEDE UNO","tarde"
"111001098906","SEDE UNO","manana"
"111001098906","SEDE UNO","tarde"
"111001098906","SEDE UNO","manana"
"111001098906","SEDE UNO","tarde"
"111001012360","SEDE UNO","manana"
"111001012360","SEDE UNO","tarde"
"111001014974","SEDE UNO","unica"
"111001104281","SEDE UNO","manana"
"111001104281","SEDE UNO","tarde"
"111001106984","SEDE UNO","manana"
"111001106984","SEDE UNO","tarde"
"111001024732","SEDE UNO","manana"
"111001024732","SEDE UNO","tarde"
"111001086771","SEDE UNO","manana"
"111001086771","SEDE UNO","tarde"
"111001016071","SEDE UNO","manana"
"111001016071","SEDE UNO","tarde"
"111001027405","SEDE UNO","manana"
"111001027405","SEDE UNO","tarde"
"111001026964","SEDE UNO","manana"
"111001026964","SEDE UNO","tarde"
"111001016292","SEDE UNO","manana"
"111001016292","SEDE UNO","tarde"
"111001011690","SEDE UNO","manana"
"111001011690","SEDE UNO","tarde"
"111001016136","SEDE UNO","manana"
"111001016136","SEDE UNO","tarde"
"111001034045","SEDE UNO","manana"
"111001034045","SEDE UNO","tarde"
"111001015598","SEDE UNO","manana"
"111001015598","SEDE UNO","tarde"
"111001016101","SEDE UNO","unica"
